job_id,job_type,arrival_time,start_time,end_time,due_date,tardiness,machine
305,N,38071.0,38372.52313217005,39043.461070891666,38761.0,282.46107089166617,A
299,H,37573.0,38804.58247174801,39190.632975978806,38263.0,927.6329759788059,B
300,H,37627.0,38811.89182014733,39191.71835686355,38317.0,874.7183568635519,B
307,N,38231.0,38932.82092324763,39427.08553724835,38921.0,506.0855372483493,A
310,N,38493.0,39043.461070891666,39695.76433220038,39183.0,512.7643322003787,A
308,N,38319.0,39009.24020017897,39717.11904840802,39009.0,708.1190484080216,A
309,H,38350.0,39190.632975978806,39823.721371829124,39040.0,783.7213718291241,B
311,H,38582.0,39191.71835686355,39849.53863716097,39272.0,577.5386371609711,B
312,N,38751.0,39427.08553724835,39897.08739454344,39441.0,456.0873945434432,A
313,N,38845.0,39823.721371829124,40081.07462712904,39535.0,546.0746271290409,B
318,N,39753.0,39753.0,40232.887084288675,40443.0,0.0,A
314,H,39022.0,39849.53863716097,40439.83229098682,39712.0,727.832290986822,B
321,N,40156.0,40156.0,40675.722015997024,40846.0,0.0,A
315,H,39254.0,40081.07462712904,40728.8476265352,39944.0,784.8476265352001,B
323,N,40485.0,40485.0,40939.35185365394,41175.0,0.0,A
316,H,39332.0,40439.83229098682,40964.39137541715,40022.0,942.3913754171517,B
317,H,39588.0,40728.8476265352,41410.42551347659,40278.0,1132.4255134765917,B
325,N,40898.0,40898.0,41585.04204599567,41588.0,0.0,A
319,H,39966.0,40964.39137541715,41695.4073670253,40656.0,1039.4073670252983,B
329,N,41311.0,41311.0,41970.17232846077,42001.0,0.0,A
322,H,40344.0,41695.4073670253,42030.61131701546,41034.0,996.6113170154567,B
320,H,40143.0,41410.42551347659,42056.42304899198,40833.0,1223.4230489919792,B
330,N,41763.0,41763.0,42389.64194582646,42453.0,0.0,A
332,N,41974.0,41974.0,42474.296671875505,42664.0,0.0,A
326,H,41052.0,42056.42304899198,42657.54375843469,41742.0,915.5437584346873,B
324,H,40888.0,42030.61131701546,42712.98129197791,41578.0,1134.981291977907,B
335,N,42122.0,42122.0,42808.73638430224,42812.0,0.0,A
337,N,42225.0,42389.64194582646,43048.80357020904,42915.0,133.80357020904194,A
328,H,41256.0,42712.98129197791,43086.49850982616,41946.0,1140.4985098261604,B
340,N,42642.0,42642.0,43126.05622159943,43332.0,0.0,A
327,H,41229.0,42657.54375843469,43251.32761412754,41919.0,1332.327614127542,B
331,H,41873.0,43086.49850982616,43492.14681845047,42563.0,929.1468184504702,B
341,N,42659.0,42808.73638430224,43500.11074750351,43349.0,151.11074750350963,A
333,H,41992.0,43251.32761412754,43722.786363956104,42682.0,1040.7863639561037,B
344,N,42734.0,43048.80357020904,43732.48630894583,43424.0,308.4863089458304,A
345,N,42768.0,43126.05622159943,43788.02859859432,43458.0,330.0285985943192,A
334,H,42068.0,43492.14681845047,43919.370978927196,42758.0,1161.3709789271961,B
350,N,43253.0,43732.48630894583,44129.406106328854,43943.0,186.40610632885364,A
336,H,42158.0,43722.786363956104,44129.74577760598,42848.0,1281.7457776059819,B
348,N,42945.0,43500.11074750351,44152.056771883785,43635.0,517.0567718837847,A
351,N,43310.0,43788.02859859432,44253.500281086235,44000.0,253.5002810862352,A
338,H,42471.0,43919.370978927196,44352.83638334247,43161.0,1191.8363833424664,B
353,N,43853.0,44152.056771883785,44639.11598186701,44543.0,96.11598186701303,A
342,H,42678.0,44352.83638334247,44806.3333918287,43368.0,1438.3333918287026,B
352,N,43382.0,44129.406106328854,44816.305447881,44072.0,744.3054478810009,A
355,N,44207.0,44253.500281086235,44844.59878336354,44897.0,0.0,A
339,H,42528.0,44129.74577760598,44848.36900456645,43218.0,1630.369004566448,B
343,H,42720.0,44806.3333918287,45301.773293483144,43410.0,1891.7732934831438,B
356,N,44683.0,44683.0,45465.926941100544,45373.0,92.92694110054435,A
346,H,42826.0,44848.36900456645,45538.130300224206,43516.0,2022.1303002242057,B
347,H,42831.0,45301.773293483144,45677.71463658801,43521.0,2156.7146365880108,B
363,N,45383.0,45383.0,45844.41748474269,46073.0,0.0,A
354,H,44094.0,45677.71463658801,46094.43050243241,44784.0,1310.430502432413,B
362,N,45351.0,45351.0,46119.48234892449,46041.0,78.48234892448818,A
349,H,43124.0,45538.130300224206,46251.567393343204,43814.0,2437.5673933432045,B
357,H,44713.0,46094.43050243241,46468.05201668426,45403.0,1065.0520166842616,B
358,H,44848.0,46251.567393343204,46715.28291810376,45538.0,1177.2829181037596,B
359,H,44976.0,46468.05201668426,47035.04775090902,45666.0,1369.0477509090197,B
360,H,45082.0,46715.28291810376,47144.79062781825,45772.0,1372.790627818249,B
369,N,46743.0,46743.0,47322.1415898448,47433.0,0.0,A
361,H,45298.0,47035.04775090902,47522.4531443239,45988.0,1534.453144323903,B
364,H,45892.0,47144.79062781825,47558.71356456237,46582.0,976.7135645623712,B
372,N,47106.0,47106.0,47620.05793594869,47796.0,0.0,A
373,N,47139.0,47139.0,47708.50862105459,47829.0,0.0,A
365,H,46344.0,47522.4531443239,47831.64900811865,47034.0,797.6490081186494,B
374,N,47217.0,47322.1415898448,47937.81615001807,47907.0,30.81615001807222,A
376,N,47308.0,47620.05793594869,48177.64778226726,47998.0,179.64778226726048,A
366,H,46360.0,47558.71356456237,48236.70960192106,47050.0,1186.7096019210585,B
377,N,47356.0,47708.50862105459,48328.32120963475,48046.0,282.3212096347488,A
